epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,324.734,1.00519,2.78285,1.16604,0.65482,0.16092,0.16338,0.11002,1.08941,2.10724,1.37663,0.0700117,0.00333204,0.00333204
2,636.912,0.96377,1.81211,1.13557,0.56633,0.31409,0.34114,0.22195,1.1251,1.67039,1.40955,0.0399457,0.00659938,0.00659938
3,949.189,0.97452,1.59241,1.14111,0.55673,0.39647,0.41629,0.28968,1.10936,1.5116,1.41562,0.00981369,0.00980073,0.00980073
4,1260.35,0.96265,1.44642,1.13788,0.68909,0.41755,0.51119,0.34956,1.11399,1.32314,1.40444,0.009703,0.009703,0.009703
5,1569.92,0.92314,1.2614,1.11436,0.6499,0.53786,0.61084,0.43472,1.01949,1.0951,1.31813,0.009604,0.009604,0.009604
6,1887.73,0.8891,1.13837,1.0958,0.73927,0.56171,0.66278,0.48489,0.93621,0.98945,1.2623,0.009505,0.009505,0.009505
7,2201.54,0.87166,1.06533,1.08501,0.73992,0.66532,0.72565,0.53683,0.92202,0.89958,1.23415,0.009406,0.009406,0.009406
8,2520.55,0.85548,1.00774,1.07691,0.74974,0.68072,0.73459,0.54046,0.89878,0.83548,1.22804,0.009307,0.009307,0.009307
9,2831.7,0.842,0.9619,1.06908,0.79711,0.70922,0.78145,0.58374,0.86838,0.78688,1.19923,0.009208,0.009208,0.009208
10,3146.72,0.82985,0.92746,1.06369,0.7705,0.71891,0.79367,0.5966,0.85708,0.75271,1.18984,0.009109,0.009109,0.009109
11,3470.45,0.8233,0.89755,1.05879,0.83707,0.71778,0.81487,0.61857,0.84527,0.72416,1.17735,0.00901,0.00901,0.00901
12,3793.56,0.81371,0.875,1.05436,0.84088,0.76354,0.84113,0.63846,0.83218,0.69693,1.1629,0.008911,0.008911,0.008911
13,4108.57,0.80819,0.85194,1.05067,0.79443,0.77784,0.83131,0.63112,0.82763,0.68275,1.15449,0.008812,0.008812,0.008812
14,4416.48,0.80397,0.8338,1.04821,0.83674,0.77094,0.84401,0.64787,0.8101,0.65794,1.14309,0.008713,0.008713,0.008713
15,4717.3,0.7949,0.81664,1.04355,0.85671,0.76808,0.85039,0.65217,0.80405,0.63897,1.13751,0.008614,0.008614,0.008614
16,5018.48,0.79177,0.80279,1.04152,0.84172,0.77801,0.85557,0.65795,0.79801,0.63506,1.13371,0.008515,0.008515,0.008515
17,5319.18,0.78788,0.79083,1.03959,0.85946,0.77076,0.85883,0.66503,0.79094,0.62266,1.12648,0.008416,0.008416,0.008416
